PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,3,male,22.0,1,0,7.25,S
4,1,female,35.0,1,0,53.1,S
5,3,male,35.0,0,0,8.05,S
6,3,male,,0,0,8.4583,Q
9,3,female,27.0,0,2,11.1333,S
10,2,female,14.0,1,0,30.0708,C
11,3,female,4.0,1,1,16.7,S
12,1,female,58.0,0,0,26.55,S
14,3,male,39.0,1,5,31.275,S
15,3,female,14.0,0,0,7.8542,S
16,2,female,55.0,0,0,16.0,S
17,3,male,2.0,4,1,29.125,Q
18,2,male,,0,0,13.0,S
20,3,female,,0,0,7.225,C
21,2,male,35.0,0,0,26.0,S
22,2,male,34.0,0,0,13.0,S
23,3,female,15.0,0,0,8.0292,Q
24,1,male,28.0,0,0,35.5,S
25,3,female,8.0,3,1,21.075,S
27,3,male,,0,0,7.225,C
28,1,male,19.0,3,2,263.0,S
29,3,female,,0,0,7.8792,Q
31,1,male,40.0,0,0,27.7208,C
33,3,female,,0,0,7.75,Q
34,2,male,66.0,0,0,10.5,S
36,1,male,42.0,1,0,52.0,S
37,3,male,,0,0,7.2292,C
40,3,female,14.0,1,0,11.2417,C
43,3,male,,0,0,7.8958,C
45,3,female,19.0,0,0,7.8792,Q
46,3,male,,0,0,8.05,S
47,3,male,,1,0,15.5,Q
48,3,female,,0,0,7.75,Q
49,3,male,,2,0,21.6792,C
50,3,female,18.0,1,0,17.8,S
51,3,male,7.0,4,1,39.6875,S
52,3,male,21.0,0,0,7.8,S
56,1,male,,0,0,35.5,S
58,3,male,28.5,0,0,7.2292,C
59,2,female,5.0,1,2,27.75,S
60,3,male,11.0,5,2,46.9,S
61,3,male,22.0,0,0,7.2292,C
62,1,female,38.0,0,0,80.0,
64,3,male,4.0,3,2,27.9,S
66,3,male,,1,1,15.2458,C
68,3,male,19.0,0,0,8.1583,S
69,3,female,17.0,4,2,7.925,S
70,3,male,26.0,2,0,8.6625,S
71,2,male,32.0,0,0,10.5,S
72,3,female,16.0,5,2,46.9,S
73,2,male,21.0,0,0,73.5,S
74,3,male,26.0,1,0,14.4542,C
75,3,male,32.0,0,0,56.4958,S
77,3,male,,0,0,7.8958,S
78,3,male,,0,0,8.05,S
80,3,female,30.0,0,0,12.475,S
81,3,male,22.0,0,0,9.0,S
82,3,male,29.0,0,0,9.5,S
83,3,female,,0,0,7.7875,Q
86,3,female,33.0,3,0,15.85,S
87,3,male,16.0,1,3,34.375,S
88,3,male,,0,0,8.05,S
89,1,female,23.0,3,2,263.0,S
90,3,male,24.0,0,0,8.05,S
91,3,male,29.0,0,0,8.05,S
92,3,male,20.0,0,0,7.8542,S
93,1,male,46.0,1,0,61.175,S
94,3,male,26.0,1,2,20.575,S
95,3,male,59.0,0,0,7.25,S
97,1,male,71.0,0,0,34.6542,C
99,2,female,34.0,0,1,23.0,S
101,3,female,28.0,0,0,7.8958,S
102,3,male,,0,0,7.8958,S
103,1,male,21.0,0,1,77.2875,S
104,3,male,33.0,0,0,8.6542,S
106,3,male,28.0,0,0,7.8958,S
107,3,female,21.0,0,0,7.65,S
109,3,male,38.0,0,0,7.8958,S
110,3,female,,1,0,24.15,Q
112,3,female,14.5,1,0,14.4542,C
